Session #,Trial,DateTime,Video #,TrialType,Player1,Player2,Choice1,Choice2,Choice,Condition,OtherReward,DictReward,OneChoice,OtherTrial,FixationPointFrame,FixationPointTime,FP:TO,TargetsOnFrame,TargetsOnTime,TO:GO,GO:Choice,ChoiceTimeFrame,ChoiceTime,Choice:RRS,Choice:DRS,RecipientRewardStartFrame,RecipientRewardStartTime,RRS:RRE,RecipientRewardEndFrame,RecipientRewardEndTime,RRE:DRS,DictatorRewardStartFrame,DictatorRewardStartTime,DRS:DRE,DictatorRewardEndFrame,DictatorRewardEndTime,RewardEndPrev,ITI,EndTrialFrame,EndTrialTime,Choice:ET,AvertedBeforeChoiceLong,AvertedBeforeChoiceShort,AvertedAfterChoiceFull,AvertedAfterChoiceBR,AvertedAfterChoiceAR,RewardAnticipationOther,RewardAnticipationSelf,RewardAnticipationBeforeLong,RewardAnticipationBeforeShort,RewardAnticipationAfterFull,RewardAnticipationAfterBR,RewardAnticipationDuringReward,RewardAnticipationAfterAR,StereoAvertBeforeLong,StereoAvertBeforeShort,StereoAvertAfterFull,StereoAvertAfterBR,StereoAvertAfterAR
1,11,231002_1149,1,Dual,Mufasa,Empty,2,0,High,3,2.0,2.0,,False,4529.0,150.9784209,0.5347914,4545.0,151.5132123,0.5338968,11.7779589,4915.0,163.825068,1.2508848,3.2867177,4952.0,165.0759528,1.4274185,4995.0,166.5033713,0.6084144,5013.0,167.1117857,1.4189794,5056.0,168.5307651,4456.0,2.4468396,5089.0,169.6491793,5.8241113,0.422413793,0.773333333,0.125,,0.0,0.0,1.0,0.224400871,0.278378378,0.563218391,0.0,0.093023256,0.715328467,0.147540984,0.142857143,,,
1,12,231002_1149,1,Dual,Mufasa,Empty,2,0,,3,,,,False,5132.0,171.0535435,0.5256456,5147.0,171.5791891,,,,,,,,,,,,,,,,,,5056.0,2.5227784,0.0,,,,,,,,,,,,,,,,,,,,
1,13,231002_1149,1,Dual,Mufasa,Empty,0,2,,4,,,,False,5386.0,179.534683,0.5346229,5402.0,180.0693059,0.5337727,,,,,,,,,,,,,,,,,0.0,,5868.0,195.5991656,,,,,,,,,,,,,,,,,,,
1,14,231002_1149,1,Dual,Mufasa,Empty,0,2,High,4,2.0,2.0,,False,5905.0,196.8483143,0.5346335,5921.0,197.3829478,0.7342542,0.5713624,5961.0,198.6885644,1.2476675,3.2835638,5998.0,199.9362319,1.4266217,6041.0,201.3628536,0.6092746,6059.0,201.9721282,1.4197851,6102.0,203.3919133,5868.0,1.2491487,6135.0,204.5107241,5.8221597,,,1.0,,,0.0,1.0,0.0,0.0,0.775862069,0.0,0.953488372,0.98540146,,,,,
1,15,231002_1149,1,Dual,Mufasa,Empty,2,0,High,3,2.0,2.0,,False,6175.0,205.838694,0.5348194,6191.0,206.3735134,0.7342724,7.4377798,6436.0,214.5455656,1.2532172,3.289266,6474.0,215.7987828,1.4268008,6517.0,217.2255836,0.609248,6535.0,217.8348316,1.4199475,6578.0,219.2547791,6102.0,2.4467807,6611.0,220.3729777,5.8274121,0.426966292,0.485436893,0.466666667,,,1.0,1.0,0.736526946,0.640816327,0.68,1.0,1.0,0.591240876,,,,,
1,16,231002_1149,1,Dual,Mufasa,Empty,2,0,,3,,,,False,6651.0,221.7014009,0.5353074,6667.0,222.2367083,,,,,,,,,,,,,,,,,,6578.0,2.4466218,0.0,,,,,,,,,,,,,,,,,,,,
1,17,231002_1149,1,Dual,Mufasa,Empty,0,2,High,4,2.0,2.0,,False,6907.0,230.2414228,0.5346759,6923.0,230.7760987,0.5338755,8.3931179,7191.0,239.7030921,1.2491926,3.2848628,7229.0,240.9522847,1.426394,7271.0,242.3786787,0.6092762,7290.0,242.9879549,1.4199768,7332.0,244.4079317,0.0,,7366.0,245.5265693,5.8234772,,,,,,0.0,0.0,,0.0,0.382857143,0.0,0.0,0.489051095,,,,,
1,18,231002_1149,1,Dual,Mufasa,Empty,2,0,,3,,,,False,7404.0,246.8058346,0.5334302,7420.0,247.3392648,0.5338754,,,,,,,,,,,,,,,,,7332.0,2.3979029,7889.0,262.9693076,,,,,,,,,,,,,,,,,,,
1,19,231002_1149,1,Dual,Mufasa,Empty,0,2,High,4,2.0,2.0,,False,7930.0,264.335267,0.5345463,7946.0,264.8698133,0.7340621,3.2241892,8065.0,268.8280646,1.2471486,3.2827402,8102.0,270.0752132,1.4261432,8145.0,271.5013564,0.6094484,8163.0,272.1108048,1.4200772,8206.0,273.530882,7889.0,1.3659594,8239.0,274.649185,5.8211204,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
1,20,231002_1149,1,Dual,Mufasa,Empty,0,2,,4,,,,False,8298.0,276.6097798,0.5364639,8314.0,277.1462437,0.6339338,,,,,,,,,,,,,,,,,8206.0,3.0788978,8783.0,292.7764216,,,,,,,,,,,,,,,,,,,
1,21,231002_1149,1,Dual,Mufasa,Empty,2,0,,3,,,,False,8823.0,294.108229,0.5352302,8839.0,294.6434592,0.5339455,,,,,,,,,,,,,,,,,8783.0,1.3318074,9305.0,310.1736661,,,,,,,,,,,,,,,,,,,
1,22,231002_1149,1,Dual,Mufasa,Empty,0,2,,4,,,,False,9343.0,311.4226419,0.5346701,9359.0,311.957312,0.5338219,,,,,,,,,,,,,,,,,9305.0,1.2489758,9825.0,327.4877209,,,,,,,,,,,,,,,,,,,
1,23,231002_1149,1,Dual,Mufasa,Empty,2,0,,3,,,,False,13505.0,450.1608787,0.5230457,13521.0,450.6839244,0.7341138,,,,,,,,,,,,,,,,,9825.0,122.6731578,13995.0,466.5145594,,,,,,,,,,,,,,,,,,,
1,24,231002_1149,1,Dual,Mufasa,Empty,2,0,High,3,2.0,2.0,,False,14035.0,467.8466569,0.5346534,14051.0,468.3813103,0.5339867,4.8876022,14214.0,473.8028992,1.2516424,3.2872963,14252.0,475.0545416,1.4266123,14294.0,476.4811539,0.6090416,14313.0,477.0901955,1.4199076,14355.0,478.5101031,13995.0,1.3320975,14389.0,479.6284925,5.8255933,0.5,,0.848484848,,1.0,0.0,0.0,0.0,0.0,0.062857143,0.0,0.0,0.080291971,,,0.777777778,,
1,25,231002_1149,1,Dual,Mufasa,Empty,0,2,,4,,,,False,14429.0,480.9737492,0.5346322,14445.0,481.5083814,0.7341607,,,,,,,,,,,,,,,,,14355.0,2.4636461,14917.0,497.2385506,,,,,,,,,,,,,,,,,,,
1,26,231002_1149,1,Dual,Mufasa,Empty,0,2,High,4,2.0,2.0,,False,14958.0,498.587721,0.5347719,14974.0,499.1224929,0.5338944,0.9546118,15018.0,500.6109991,1.2480009,3.2838796,15056.0,501.859,1.4269408,15099.0,503.2859408,0.6089379,15117.0,503.8948787,1.4202495,15159.0,505.3151282,14917.0,1.3491704,15193.0,506.4334044,5.8224053,,,0.272727273,,1.0,0.368421053,1.0,0.0,0.0,0.697142857,0.368421053,0.325581395,0.788321168,,,,,
1,27,231002_1149,1,Dual,Mufasa,Empty,2,0,,3,,,,False,15245.0,508.1785564,0.5347562,15261.0,508.7133126,,,,,,,,,,,,,,,,,,15159.0,2.8634282,0.0,,,,,,,,,,,,,,,,,,,,
1,28,231002_1149,1,Dual,Mufasa,Empty,0,2,,4,,,,False,15501.0,516.6857928,0.5342537,15517.0,517.2200465,0.533928,,,,,,,,,,,,,,,,,0.0,,15983.0,532.7502325,,,,,,,,,,,,,,,,,,,
1,29,231002_1149,1,Dual,Mufasa,Empty,2,0,,3,,,,False,16020.0,533.99902,0.5347583,16036.0,534.5337783,0.651659,,,,,,,,,,,,,,,,,15983.0,1.2487875,16508.0,550.2806702,,,,,,,,,,,,,,,,,,,
1,30,231002_1149,1,Dual,Mufasa,Empty,0,2,High,4,2.0,2.0,,False,16549.0,551.6297734,0.5848588,16566.0,552.2146322,0.5337366,6.8247797,16787.0,559.5731485,1.2497863,3.2851249,16825.0,560.8229348,1.4262824,16867.0,562.2492172,0.6090562,16886.0,562.8582734,1.4204233,16928.0,564.2786967,16508.0,1.3491032,16962.0,565.3969234,5.8237749,0.540540541,0.493670886,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.25,,,
1,31,231002_1149,1,Dual,Mufasa,Empty,2,0,Low,3,,0.0,,False,17002.0,566.7255975,0.5341468,17018.0,567.2597443,0.533927,0.7063449,17055.0,568.5000162,,1.0466666,,,,,,,17086.0,569.5466828,2.1213476,17150.0,571.6680304,16928.0,2.4469008,17184.0,572.787575,4.2875588,,,,,,,,0.551181102,1.0,0.240310078,,,,,,,,
1,32,231002_1149,1,Dual,Mufasa,Empty,2,0,,3,,,,False,17223.0,574.1147595,0.5341685,17239.0,574.648928,0.6340203,,,,,,,,,,,,,,,,,17150.0,2.4467291,17708.0,590.2795166,,,,,,,,,,,,,,,,,,,
