Session #,Trial,DateTime,Video #,TrialType,Player1,Player2,Choice1,Choice2,Choice,Condition,OtherReward,DictReward,OneChoice,OtherTrial,FixationPointFrame,FixationPointTime,FP:TO,TargetsOnFrame,TargetsOnTime,TO:GO,GO:Choice,ChoiceTimeFrame,ChoiceTime,Choice:RRS,Choice:DRS,RecipientRewardStartFrame,RecipientRewardStartTime,RRS:RRE,RecipientRewardEndFrame,RecipientRewardEndTime,RRE:DRS,DictatorRewardStartFrame,DictatorRewardStartTime,DRS:DRE,DictatorRewardEndFrame,DictatorRewardEndTime,RewardEndPrev,ITI,EndTrialFrame,EndTrialTime,Choice:ET,AvertedBeforeChoiceLong,AvertedBeforeChoiceShort,AvertedAfterChoiceFull,AvertedAfterChoiceBR,AvertedAfterChoiceAR,RewardAnticipationOther,RewardAnticipationSelf,RewardAnticipationBeforeLong,RewardAnticipationBeforeShort,RewardAnticipationAfterFull,RewardAnticipationAfterBR,RewardAnticipationDuringReward,RewardAnticipationAfterAR,StereoAvertBeforeLong,StereoAvertBeforeShort,StereoAvertAfterFull,StereoAvertAfterBR,StereoAvertAfterAR
1,25,230713_1227,1,Dual,Scar,Buba,4,2,High,7,4.0,3.0,,True,5097.0,258.4687131,0.5242338,5107.0,258.9929469,0.7340037,0.7552592,5137.0,260.4822098,1.247703,4.106223,5161.0,261.7299128,1.4397602,5190.0,263.169673,1.4187598,5218.0,264.5884328,0.2706212,5223.0,264.859054,5040.0,2.9022845,5246.0,266.0052679,5.5230581,0.38372093,0.473684211,0.4625,1.0,0.410958904,0.0,1.0,0.453608247,0.0,0.52293578,0.0,0.034482759,0.670588235,0.571428571,0.416666667,0.5625,,0.222222222
1,26,230713_1227,1,Dual,Scar,Buba,4,0,,5,,,,False,5272.0,267.3482515,0.5349809,5283.0,267.8832324,,,,,,,,,,,,,,,,,,5223.0,2.4891975,0.0,,,,,,,,,,,,,,,,,,,,
1,27,230713_1227,1,Dual,Scar,Buba,0,4,High,12,4.0,7.0,,True,5443.0,276.0081711,0.5318278,5453.0,276.5399989,0.6338558,0.5711599,5477.0,277.7450146,1.2485036,4.1061036,5502.0,278.9935182,1.4448398,5530.0,280.438358,1.4127602,5558.0,281.8511182,0.6306017,5571.0,282.4817199,0.0,,5589.0,283.4248449,5.6798303,,0.782608696,0.293333333,,0.283783784,0.0,1.0,,0.0,0.598214286,0.0,0.285714286,0.770114943,,0.5625,0.0,,
1,28,230713_1227,1,Dual,Scar,Buba,0,2,High,4,,2.0,,False,5615.0,284.7527456,0.5274332,5626.0,285.2801788,0.533824,0.9046223,5654.0,286.7186251,,1.2484298,,,,,,,5679.0,287.9670549,1.4215246,5707.0,289.3885795,5571.0,2.2710257,5737.0,290.9263943,4.2077692,0.240963855,0.285714286,0.373493976,0.28,0.413793103,,0.0,0.614457831,0.0,0.698795181,0.0,1.0,1.0,0.68,0.666666667,0.611111111,0.611111111,
1,29,230713_1227,1,Dual,Scar,Buba,4,0,High,11,4.0,7.0,,True,5764.0,292.2680808,0.5347916,5774.0,292.8028724,0.6338703,0.8038975,5802.0,294.2406402,1.2489068,4.107493,5827.0,295.489547,1.4395447,5855.0,296.9290917,1.4190415,5883.0,298.3481332,0.6306337,5896.0,298.9787669,5707.0,2.8795013,5919.0,300.1308058,5.8901656,0.547368421,0.785714286,0.145299145,0.68,0.0,0.0,1.0,0.357894737,0.0,0.666666667,0.0,0.5,0.847826087,0.648148148,0.666666667,0.59375,0.611111111,0.142857143
1,30,230713_1227,1,Dual,Scar,Buba,2,0,High,3,,2.0,,False,5945.0,301.4633282,0.5304506,5955.0,301.9937788,0.5334475,2.6238392,6018.0,305.1510655,,1.2471224,,,,,,,6042.0,306.3981879,1.4221456,6070.0,307.8203335,5896.0,2.4845613,6101.0,309.3676351,4.2165696,0.607142857,0.672727273,0.605633803,1.0,0.44,,0.0,0.795081967,0.603174603,0.43373494,0.0,0.178571429,0.610169492,0.3,0.3,0.642857143,0.5,0.142857143
1,31,230713_1227,1,Dual,Scar,Buba,0,2,High,10,2.0,3.0,,True,6126.0,310.6585548,0.5261812,6137.0,311.184736,0.7332645,0.7575116,6166.0,312.6755121,1.2454428,4.0860577,6191.0,313.9209549,1.42723,6219.0,315.3481849,1.4133849,6247.0,316.7615698,0.2705962,6252.0,317.032166,6070.0,2.8382213,6275.0,318.1823318,5.5068197,0.53125,0.827586207,0.302752294,0.56,0.226190476,0.0,1.0,0.458333333,0.0,0.568807339,0.0,0.214285714,0.738095238,0.6,0.681818182,0.575,0.611111111,0.533333333
1,32,230713_1227,1,Dual,Scar,Buba,0,4,High,6,,4.0,,False,6301.0,319.5195062,0.5216273,6311.0,320.0411335,0.5338932,0.6236024,6334.0,321.1986291,,1.2473408,,,,,,,6359.0,322.4459699,1.4238537,6387.0,323.8698236,6252.0,2.4873402,6418.0,325.4396807,4.2410516,0.481012658,1.0,0.404761905,0.56,0.338983051,,0.0,0.414634146,0.0,0.571428571,0.0,0.785714286,0.813559322,0.605263158,0.461538462,0.620689655,0.611111111,0.0
1,33,230713_1227,1,Dual,Scar,Buba,2,4,Low,8,2.0,3.0,,True,6444.0,326.7747464,0.5223681,6454.0,327.2971145,0.7337035,6.6274924,6599.0,334.6583104,1.2322395,4.1014524,6624.0,335.8905499,1.4246137,6652.0,337.3151636,1.4445992,6680.0,338.7597628,0.2706217,6686.0,339.0303845,6387.0,2.9049228,6709.0,340.188619,5.5303086,0.571428571,0.901408451,0.396039604,0.875,0.305882353,0.0,1.0,0.150943396,0.04137931,0.727272727,0.0,0.821428571,0.941176471,0.735632184,0.640625,0.5,0.222222222,
1,34,230713_1227,1,Dual,Scar,Buba,2,4,High,2,,4.0,,False,6735.0,341.5164741,0.5252199,6745.0,342.041694,0.6340828,0.5724629,6769.0,343.2482397,,1.2484459,,,,,,,6793.0,344.4966856,1.4245432,6822.0,345.9212288,6686.0,2.4860896,6852.0,347.485283,4.2370433,0.329268293,0.391304348,0.626506024,0.916666667,0.508474576,,0.0,0.602409639,0.0,0.457831325,0.0,0.275862069,0.644067797,0.68,0.5625,0.605263158,0.588235294,0.5
1,35,230713_1227,1,Dual,Scar,Buba,2,0,High,9,2.0,7.0,,True,6879.0,348.8225366,0.5250432,6889.0,349.3475798,0.7341022,1.1575939,6926.0,351.2392759,1.2455458,4.086317,6951.0,352.4848217,1.4282747,6979.0,353.9130964,1.4124965,7007.0,355.3255929,0.6306124,7019.0,355.9562053,6822.0,2.9013078,7042.0,357.1119879,5.872712,0.64893617,0.37037037,0.238095238,0.928571429,0.131868132,0.0,0.892857143,0.586538462,0.0,0.706896552,0.0,0.785714286,0.901098901,0.653846154,0.65,0.5625,0.142857143,0.0
1,36,230713_1227,1,Dual,Scar,Buba,2,0,High,3,,2.0,,False,7069.0,358.4464085,0.5256853,7079.0,358.9720938,0.7338958,1.3577158,7120.0,361.0637054,,1.2462695,,,,,,,7145.0,362.3099749,1.4221988,7173.0,363.7321737,7019.0,2.4902032,7204.0,365.2988837,4.2351783,0.632653061,0.552631579,0.41509434,,0.41509434,,0.0,0.732673267,0.341463415,0.547619048,0.0,0.535714286,0.779661017,0.588235294,0.588235294,,,
1,37,230713_1227,1,Dual,Scar,Buba,0,4,High,12,4.0,3.0,,True,7230.0,366.6376959,0.5239881,7240.0,367.161684,0.7340642,4.9744222,7353.0,372.8701704,1.2488034,4.1070602,7378.0,374.1189738,1.4397364,7406.0,375.5587102,1.4185204,7434.0,376.9772306,0.2706435,7439.0,377.2478741,7173.0,2.9055222,7463.0,378.4250547,5.5548843,0.297297297,0.315217391,0.557692308,0.789473684,0.505882353,0.0,1.0,0.255555556,0.0,0.618181818,0.0,0.392857143,0.8,0.735632184,0.671428571,0.620689655,0.416666667,0.3
1,38,230713_1227,1,Dual,Scar,Buba,0,2,High,4,,2.0,,False,7489.0,379.7562663,0.5326048,7499.0,380.2888711,0.6340048,0.9229303,7530.0,381.8458062,,1.2467784,,,,,,,7555.0,383.0925846,1.4551872,7583.0,384.5477718,7439.0,2.5083922,7615.0,386.135812,4.2900058,0.516483516,0.516129032,0.358024691,0.904761905,0.166666667,,0.0,0.648351648,0.0,0.458823529,0.0,0.535714286,0.65,0.68,0.708333333,0.571428571,0.5,0.5
1,39,230713_1227,1,Dual,Scar,Buba,2,4,,8,,,,True,7641.0,387.4707213,0.5244619,7651.0,387.9951832,,,,,,,,,,,,,,,,,,7583.0,2.9229495,0.0,,,,,,,,,,,,,,,,,,,,
1,40,230713_1227,1,Dual,Scar,Buba,0,4,High,6,,4.0,,False,7824.0,396.7474374,0.5213446,7834.0,397.268782,0.5341076,0.5872422,7856.0,398.3901318,,1.2491718,,,,,,,7881.0,399.6393036,1.4259484,7909.0,401.065252,0.0,,7937.0,402.4689723,4.0788405,,1.0,0.703703704,0.76,0.678571429,,0.0,,0.0,0.395061728,0.0,0.142857143,0.571428571,,0.533333333,0.571428571,0.611111111,0.588235294
